[PID=36933][Sun Apr  7 14:57:48 2019] Error : -458753(eBADBTREEPAGE_BTM) in EduBtM_Test.c:855
[PID=2867][Tue Apr  9 06:38:12 2019] Error : -262147(eBADHASHKEY_BFM) in BfM_GetTrain.c:160
[PID=2867][Tue Apr  9 06:38:12 2019] Error : -262147(eBADHASHKEY_BFM) in edubtm_Split.c:374
[PID=2867][Tue Apr  9 06:38:12 2019] Error : -262147(eBADHASHKEY_BFM) in edubtm_Insert.c:261
[PID=2867][Tue Apr  9 06:38:12 2019] Error : -262147(eBADHASHKEY_BFM) in edubtm_Insert.c:148
[PID=2867][Tue Apr  9 06:38:12 2019] Error : -262147(eBADHASHKEY_BFM) in EduBtM_InsertObject.c:101
[PID=2867][Tue Apr  9 06:38:12 2019] Error : -262147(eBADHASHKEY_BFM) in EduBtM_Test.c:173
[PID=2867][Tue Apr  9 06:38:12 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in RM_Transaction.c:311
[PID=2867][Tue Apr  9 06:38:12 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in SM_Transaction.c:258
[PID=2867][Tue Apr  9 06:38:12 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in SM_ThinLayer.c:761
[PID=2867][Tue Apr  9 06:38:12 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in LRDS_Transaction.c:133
[PID=2880][Tue Apr  9 06:38:29 2019] Error : -262147(eBADHASHKEY_BFM) in BfM_GetTrain.c:160
[PID=2880][Tue Apr  9 06:38:29 2019] Error : -262147(eBADHASHKEY_BFM) in edubtm_Split.c:374
[PID=2880][Tue Apr  9 06:38:29 2019] Error : -262147(eBADHASHKEY_BFM) in edubtm_Insert.c:261
[PID=2880][Tue Apr  9 06:38:29 2019] Error : -262147(eBADHASHKEY_BFM) in edubtm_Insert.c:148
[PID=2880][Tue Apr  9 06:38:29 2019] Error : -262147(eBADHASHKEY_BFM) in EduBtM_InsertObject.c:101
[PID=2880][Tue Apr  9 06:38:29 2019] Error : -262147(eBADHASHKEY_BFM) in EduBtM_Test.c:173
[PID=2880][Tue Apr  9 06:38:29 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in RM_Transaction.c:311
[PID=2880][Tue Apr  9 06:38:29 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in SM_Transaction.c:258
[PID=2880][Tue Apr  9 06:38:29 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in SM_ThinLayer.c:761
[PID=2880][Tue Apr  9 06:38:29 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in LRDS_Transaction.c:133
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -262150(eNOTFOUND_BFM) in BfM_SetDirty.c:88
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -262150(eNOTFOUND_BFM) in edubtm_Split.c:402
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -262150(eNOTFOUND_BFM) in BfM_FreeTrain.c:80
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -262150(eNOTFOUND_BFM) in edubtm_Insert.c:261
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -262150(eNOTFOUND_BFM) in edubtm_Insert.c:148
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -262150(eNOTFOUND_BFM) in EduBtM_InsertObject.c:101
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -262150(eNOTFOUND_BFM) in EduBtM_Test.c:173
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in RM_Transaction.c:311
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in SM_Transaction.c:258
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in SM_ThinLayer.c:761
[PID=3215][Tue Apr  9 07:07:13 2019] Error : -589829(eNOLOGGEDTRANSACTION_RM) in LRDS_Transaction.c:133
